Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,16.41,0.00,16.65,13.60,171,0.29,711,0.00,0.00,33.33,8,12.00,1.67,102,5.51,-9.14,1.26,0.00,0.00
257,16.41,0.00,15.96,13.68,171,0.29,705,0.00,0.00,33.33,8,13.00,1.65,102,5.66,-9.00,1.26,0.00,0.00
513,15.62,0.00,16.08,13.76,171,0.29,728,0.00,0.00,33.33,8,10.50,1.71,102,5.66,-9.00,1.26,0.00,0.00
770,17.19,0.00,16.08,13.84,171,0.29,721,0.00,0.00,33.33,8,11.00,1.69,102,5.66,-9.00,1.28,0.00,0.00
1027,16.41,0.00,15.62,13.84,171,0.30,712,0.00,0.00,33.33,8,12.00,1.67,102,5.66,-9.00,1.28,0.00,0.00
1283,17.19,0.00,16.19,13.76,171,0.29,722,0.00,0.00,33.33,8,11.50,1.69,102,5.66,-9.00,1.26,0.00,0.00
1540,14.84,0.00,16.77,13.76,171,0.29,728,0.00,0.00,33.33,8,11.00,1.71,102,5.66,-9.00,1.28,0.00,0.00
1797,15.62,0.00,16.08,13.76,171,0.29,726,0.00,0.00,33.33,8,10.00,1.73,102,5.51,-9.14,1.26,0.00,0.00
2054,17.19,0.00,15.96,13.76,171,0.29,728,0.00,0.00,33.33,8,9.50,1.75,102,5.51,-9.14,1.26,0.00,0.00
2311,14.84,0.00,16.88,13.76,171,0.29,714,0.00,0.00,33.33,8,12.00,1.69,102,5.51,-9.14,1.26,0.00,0.00
2567,17.19,0.00,17.00,13.76,171,0.29,730,0.00,0.00,33.33,8,13.00,1.67,102,5.66,-9.00,1.26,0.00,0.00
2825,16.41,0.00,16.54,13.68,171,0.29,715,0.00,0.00,33.33,8,12.50,1.67,102,5.66,-9.00,1.26,0.00,0.00
3081,16.41,0.00,15.85,13.68,171,0.29,720,0.00,0.00,33.33,8,11.00,1.70,102,5.66,-9.00,1.26,0.00,0.00
3337,16.41,0.00,16.08,13.68,171,0.30,702,0.00,0.00,33.33,8,13.00,1.66,102,5.51,-9.14,1.26,0.00,0.00
3595,16.41,0.00,16.19,13.76,171,0.30,723,0.00,0.00,33.33,8,11.00,1.70,102,5.66,-9.00,1.28,0.00,0.00
3851,16.41,0.00,16.19,13.76,171,0.29,730,0.00,0.00,33.33,8,10.00,1.71,102,5.66,-9.00,1.28,0.00,0.00
4108,16.41,0.00,16.42,13.84,171,0.28,742,0.00,0.00,33.33,8,9.00,1.74,102,5.66,-9.00,1.26,0.00,0.00
4365,17.19,0.00,16.31,13.76,171,0.27,714,0.00,0.00,33.33,8,13.00,1.68,102,5.37,-9.29,1.24,0.00,0.00
4621,16.41,0.00,16.77,13.84,171,0.29,704,0.00,0.00,33.33,8,14.00,1.65,102,5.37,-9.29,1.26,0.00,0.00
4879,16.41,0.00,15.96,13.84,171,0.29,688,0.00,0.00,33.33,8,13.50,1.65,102,5.37,-9.29,1.24,0.00,0.00
5135,16.41,0.00,15.96,13.76,171,0.29,711,0.00,0.00,33.33,8,11.50,1.68,102,5.51,-9.14,1.24,0.00,0.00
5393,16.41,0.00,16.42,13.76,171,0.29,713,0.00,0.00,33.33,8,11.50,1.68,102,5.51,-9.14,1.26,0.00,0.00
5649,16.41,0.00,16.08,13.76,171,0.28,722,0.00,0.00,33.33,8,10.50,1.70,102,5.51,-9.14,1.26,0.00,0.00
