Time (msec),Battery Voltage (V),A/F Learning #1 (%),Ignition Total Timing (degrees),Engine Speed (rpm),Coolant Temperature (F),A/F Sensor #1 (AFR),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Injector Duty Cycle (%),Intake Air Temperature (F),Primary Wastegate Duty Cycle (%),Knock Correction Advance (degrees),Throttle Opening Angle (%),Engine Load (Calculated) (g/rev),Manifold Absolute Pressure (psi),Volumetric Efficiency 2.5L (Calculated) (%),Feedback Knock Correction (4-byte)* (degrees),Manifold Relative Pressure (psi),A/F Correction #1 (%)
0,13.52,0.00,19.00,847,187,15.16,5.59,1.42,1.85,104,0.00,0.00,5.10,0.38,8.85,46.27,0.00,-5.80,0.00
321,13.60,0.00,16.50,875,187,15.39,5.59,1.44,1.86,104,0.00,0.00,5.10,0.39,8.85,45.78,0.00,-5.80,0.00
639,13.60,0.00,15.00,895,187,15.50,5.63,1.46,1.91,104,0.00,0.00,5.10,0.38,8.85,45.98,0.00,-5.80,0.00
958,13.52,0.78,18.00,870,187,15.50,5.82,1.44,1.69,104,0.00,0.00,5.10,0.39,8.85,48.19,0.00,-5.80,0.00
1277,13.60,0.00,16.00,894,187,15.62,5.63,1.44,1.89,104,0.00,0.00,5.10,0.37,8.85,44.31,0.00,-5.80,0.00
1595,13.60,0.78,13.00,910,187,15.62,5.66,1.44,1.78,104,0.00,0.00,5.49,0.39,8.71,45.01,0.00,-5.95,0.00
1913,13.68,3.12,15.50,914,187,15.62,5.88,1.46,1.92,102,0.00,0.00,5.49,0.39,8.71,45.61,0.00,-5.95,0.00
2233,13.68,4.69,12.50,1012,187,15.73,5.85,1.46,2.01,102,0.00,0.00,5.49,0.37,8.71,44.52,0.00,-5.95,0.00
2551,13.68,6.25,12.50,989,187,15.73,5.82,1.46,2.05,102,0.00,0.00,5.49,0.35,8.56,43.23,0.00,-6.09,3.12
2869,13.68,7.81,12.00,998,187,15.50,5.98,1.46,1.93,102,0.00,0.00,5.49,0.35,8.27,46.04,0.00,-6.38,3.91
3188,13.60,8.59,12.50,1040,187,15.16,5.85,1.46,1.96,102,0.00,0.00,5.10,0.34,8.13,44.14,0.00,-6.53,4.69
