Time (msec),Volumetric Efficiency 2.5L (Calculated) (%),Throttle Opening Angle (%),Primary Wastegate Duty Cycle (%),Mass Airflow Sensor Voltage (V),Mass Airflow (g/s),Manifold Relative Pressure (psi),Manifold Absolute Pressure (psi),Knock Correction Advance (degrees),Intake Air Temperature (F),Injector Duty Cycle (%),Ignition Total Timing (degrees),Feedback Knock Correction (4-byte)* (degrees),Engine Speed (rpm),Engine Load (Calculated) (g/rev),Coolant Temperature (F),Battery Voltage (V),A/F Sensor #1 (AFR),A/F Learning #1 (%),A/F Correction #1 (%)
0,37.33,3.92,0.00,1.34,4.44,-6.38,8.42,0.00,91,1.38,17.00,0.00,850,0.31,192,13.68,16.65,1.56,25.00
319,40.47,4.31,0.00,1.38,4.70,-6.38,8.27,0.00,91,1.47,14.50,0.00,846,0.33,192,13.76,16.77,1.56,25.00
637,40.91,4.31,0.00,1.38,4.75,-6.38,8.27,0.00,91,1.67,15.50,0.00,871,0.33,192,13.76,16.77,1.56,25.00
956,40.22,4.31,0.00,1.38,4.87,-6.53,8.13,0.00,91,1.73,13.00,0.00,922,0.33,192,13.68,16.42,1.56,25.00
1275,41.84,4.31,0.00,1.38,4.94,-6.67,8.13,0.00,91,1.75,14.50,0.00,910,0.32,192,13.76,16.19,1.56,25.00
1595,39.87,4.31,0.00,1.38,4.90,-6.67,7.98,0.00,91,1.82,14.00,0.00,950,0.32,192,13.84,15.96,1.56,25.00
1912,40.38,4.31,0.00,1.38,4.97,-6.82,7.84,0.00,91,1.67,11.50,0.00,978,0.30,194,13.68,15.73,1.56,25.00
2231,39.84,4.31,0.00,1.40,4.87,-6.96,7.69,0.00,91,1.64,13.50,0.00,983,0.31,194,13.76,15.62,1.56,25.00
2549,40.89,4.31,0.00,1.38,4.84,-7.11,7.55,0.00,91,1.68,15.00,0.00,982,0.30,194,13.68,15.62,1.56,25.00
2867,39.45,4.31,0.00,1.38,4.81,-7.25,7.40,0.00,91,1.69,13.00,0.00,978,0.29,194,13.68,15.62,1.56,25.00
3186,39.31,4.31,0.00,1.38,4.72,-7.25,7.40,0.00,91,1.70,15.00,0.00,994,0.29,194,13.68,15.50,1.56,25.00
3504,41.16,4.31,0.00,1.36,4.78,-7.40,7.25,0.00,91,1.68,16.50,0.00,986,0.29,194,13.76,15.62,1.56,25.00
3824,39.74,4.31,0.00,1.36,4.70,-7.55,7.25,0.00,90,1.69,15.00,0.00,993,0.28,194,13.68,15.62,1.56,25.00
4143,38.30,3.92,0.00,1.34,4.50,-7.69,6.96,0.00,90,1.77,14.00,0.00,1036,0.27,194,13.76,15.50,1.56,25.00
4461,40.03,3.92,0.00,1.34,4.44,-7.84,6.82,0.00,90,1.74,16.50,0.00,1020,0.26,194,13.68,15.39,1.56,25.00
4780,39.02,3.92,0.00,1.34,4.50,-7.84,6.82,0.00,90,1.75,15.00,0.00,1025,0.27,194,13.76,15.39,1.56,25.00
5098,38.66,3.92,0.00,1.34,4.42,-7.98,6.67,0.00,90,1.75,16.00,0.00,1026,0.25,194,13.76,15.27,1.56,25.00
5417,37.19,3.92,0.00,1.32,4.25,-7.98,6.67,0.00,90,1.75,16.50,0.00,1016,0.25,194,13.84,15.27,1.56,25.00
5736,39.05,3.53,0.00,1.30,4.25,-7.98,6.67,0.00,90,1.72,17.00,0.00,1008,0.25,194,13.68,15.16,1.56,25.00
6055,36.07,3.53,0.00,1.30,4.04,-8.13,6.53,0.00,90,1.70,16.50,0.00,997,0.24,194,13.76,15.27,1.56,25.00
6373,37.25,3.53,0.00,1.32,4.09,-8.13,6.53,0.00,90,1.69,18.50,0.00,982,0.25,194,13.76,15.27,1.56,25.00
6692,36.68,3.14,0.00,1.28,3.88,-8.13,6.53,0.00,90,1.69,17.00,0.00,994,0.23,194,13.68,15.27,1.56,25.00
7011,35.84,3.14,0.00,1.30,3.85,-8.13,6.53,0.00,90,1.66,17.50,0.00,973,0.23,194,13.84,15.27,1.56,25.00
7330,35.16,3.14,0.00,1.26,3.65,-8.13,6.53,0.00,90,1.65,19.50,0.00,964,0.23,194,13.68,15.27,1.56,25.00
7649,35.82,3.14,0.00,1.28,3.75,-7.98,6.67,0.00,90,1.59,19.50,0.00,931,0.24,194,13.60,15.27,1.56,25.00
7967,33.96,3.14,0.00,1.26,3.51,-7.98,6.67,0.00,90,1.63,20.00,0.00,943,0.23,194,13.60,15.39,1.56,25.00
8285,35.72,3.14,0.00,1.26,3.68,-7.98,6.67,0.00,90,1.57,19.00,0.00,917,0.24,194,13.76,15.50,1.56,25.00
