Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Volumetric Efficiency 2.5L (Calculated) (%)
0,18.75,7.03,14.70,14.08,158,0.23,946,0.00,16.50,1.41,104,0.00,6.09,-8.56,3.63,1.22,0.00,2.75,37.82
319,18.75,7.03,14.59,14.08,160,0.23,958,0.00,17.00,1.64,104,0.00,6.09,-8.56,3.59,1.22,0.00,2.75,38.74
636,18.75,7.03,14.59,14.08,160,0.24,946,0.00,16.50,1.61,104,0.00,6.09,-8.56,3.65,1.22,0.00,2.75,38.91
955,18.75,7.03,14.59,14.00,160,0.22,959,0.00,17.00,1.45,104,0.00,6.09,-8.56,3.61,1.24,0.00,2.75,38.39
1273,18.75,7.03,14.59,14.00,160,0.22,972,0.00,16.50,1.66,104,0.00,6.09,-8.56,3.61,1.22,0.00,2.75,38.60
1592,18.75,7.03,14.59,14.00,160,0.22,974,0.00,17.00,1.45,104,0.00,6.09,-8.56,3.58,1.24,0.00,2.75,38.19
1910,18.75,7.03,14.59,14.08,160,0.21,964,0.00,17.00,1.44,104,0.00,6.09,-8.71,3.59,1.20,0.00,2.75,38.53
2229,17.97,7.03,14.59,14.00,160,0.22,972,0.00,16.50,1.42,104,0.00,6.09,-8.71,3.59,1.22,0.00,2.75,37.58
2549,17.97,7.03,14.47,13.92,160,0.23,956,0.00,17.00,1.43,104,0.00,6.09,-8.56,3.52,1.22,0.00,2.75,39.09
2867,17.97,7.03,14.59,14.00,160,0.23,938,0.00,17.00,1.40,104,0.00,6.09,-8.56,3.63,1.24,0.00,2.75,38.83
3185,17.97,7.03,14.59,14.08,160,0.23,953,0.00,17.00,1.42,104,0.00,6.09,-8.56,3.50,1.22,0.00,2.75,38.34
3504,17.19,7.03,14.59,14.00,160,0.22,928,0.00,17.00,1.58,104,0.00,6.09,-8.56,3.58,1.22,0.00,2.75,37.52
3823,17.19,7.03,14.59,14.00,160,0.23,950,0.00,17.00,1.42,104,0.00,6.09,-8.56,3.47,1.22,0.00,2.75,38.33
4143,17.19,7.03,14.59,14.08,160,0.22,928,0.00,17.00,1.39,104,0.00,6.09,-8.56,3.55,1.22,0.00,2.75,37.98
4460,17.19,7.03,14.59,14.00,160,0.23,930,0.00,17.00,1.39,104,0.00,6.09,-8.56,3.43,1.22,0.00,2.75,38.39
4778,17.19,7.03,14.59,13.92,160,0.23,905,0.00,18.50,1.35,104,0.00,6.09,-8.56,3.61,1.22,0.00,2.75,39.38
5096,17.19,7.03,14.70,14.00,160,0.23,935,0.00,17.00,1.39,104,0.00,6.24,-8.56,3.52,1.22,0.00,2.75,38.90
9532,17.97,7.03,14.59,14.00,162,0.22,933,0.00,16.00,1.59,104,0.00,6.24,-8.56,3.61,1.22,0.00,2.75,37.95
9851,17.19,7.03,14.59,14.08,162,0.23,934,0.00,17.00,1.40,104,0.00,6.09,-8.56,3.59,1.24,0.00,2.75,39.21
10170,17.19,7.03,14.59,14.00,162,0.23,919,0.00,17.00,1.57,104,0.00,6.24,-8.42,3.61,1.22,0.00,2.75,38.54
10488,17.19,7.03,14.70,14.08,162,0.24,926,0.00,17.50,1.58,104,0.00,6.24,-8.42,3.59,1.22,0.00,2.75,39.04
10808,17.19,7.03,14.59,14.00,162,0.23,923,0.00,16.50,1.58,104,0.00,6.24,-8.42,3.67,1.22,0.00,2.75,39.23
11126,17.97,7.03,14.70,14.00,162,0.24,934,0.00,17.00,1.59,104,0.00,6.24,-8.42,3.56,1.22,0.00,2.75,39.24
11446,17.97,7.03,14.70,13.92,162,0.24,916,0.00,17.00,1.56,104,0.00,6.24,-8.42,3.71,1.24,0.00,2.75,38.82
11765,17.97,7.03,14.70,13.92,162,0.24,941,0.00,16.50,1.61,104,0.00,6.24,-8.42,3.59,1.24,0.00,2.75,39.55
12083,17.97,7.03,14.70,14.00,162,0.23,944,0.00,15.50,1.41,104,0.00,6.24,-8.42,3.61,1.24,0.00,2.75,37.82
12402,17.97,7.03,14.70,13.92,162,0.24,934,0.00,17.00,1.59,104,0.00,6.24,-8.42,3.59,1.24,0.00,2.75,39.17
12720,17.97,7.03,14.70,13.92,162,0.23,932,0.00,16.00,1.59,104,0.00,6.24,-8.42,3.63,1.24,0.00,2.75,37.73
13039,17.97,7.03,14.70,13.84,162,0.23,944,0.00,16.50,1.61,104,0.00,6.24,-8.42,3.54,1.22,0.00,2.75,39.01
13359,17.97,7.03,14.59,13.84,162,0.22,947,0.00,15.00,1.62,104,0.00,6.24,-8.42,3.61,1.24,0.00,2.75,39.13
13676,17.97,7.03,14.59,14.08,162,0.23,942,0.00,17.00,1.61,104,0.00,6.24,-8.56,3.56,1.24,0.00,2.75,38.57
13995,17.97,7.03,14.59,14.08,162,0.23,938,0.00,16.00,1.60,104,0.00,6.24,-8.56,3.65,1.22,0.00,2.75,37.68
14314,17.97,7.03,14.70,14.00,162,0.23,950,0.00,16.00,1.42,104,0.00,6.09,-8.56,3.51,1.22,0.00,2.75,37.65
14633,17.97,7.03,14.59,14.00,162,0.22,938,0.00,16.00,1.40,104,0.00,6.09,-8.56,3.56,1.20,0.00,2.75,38.02
14951,17.97,7.03,14.59,14.00,162,0.23,946,0.00,17.00,1.41,104,0.00,6.09,-8.56,3.50,1.22,0.00,2.75,38.10
15271,17.19,7.03,14.59,14.00,162,0.23,922,0.00,17.00,1.38,104,0.00,6.24,-8.56,3.65,1.22,0.00,2.75,38.86
15589,17.97,7.03,14.70,13.92,162,0.23,928,0.00,17.00,1.39,104,0.00,6.24,-8.56,3.51,1.22,0.00,2.75,37.72
15907,17.97,7.03,14.70,14.00,162,0.22,949,0.00,15.50,1.42,104,0.00,6.24,-8.42,3.59,1.22,0.00,2.75,37.27
16226,17.97,7.03,14.70,14.00,162,0.23,930,0.00,17.00,1.39,104,0.00,6.09,-8.56,3.51,1.22,0.00,2.75,38.52
16545,17.97,7.03,14.70,14.08,162,0.24,948,0.00,16.00,1.41,104,0.00,6.09,-8.56,3.61,1.20,0.00,2.75,38.53
16863,17.97,7.03,14.70,14.00,162,0.23,945,0.00,17.00,1.41,104,0.00,6.09,-8.56,3.47,1.22,0.00,2.75,37.85
17182,17.97,7.03,14.59,14.00,162,0.22,922,0.00,17.00,1.38,104,0.00,6.09,-8.56,3.59,1.20,0.00,2.75,39.19
17501,17.97,7.03,14.59,14.00,162,0.24,930,0.00,17.50,1.59,104,0.00,6.24,-8.42,3.47,1.22,0.00,2.75,37.71
17820,17.97,7.03,14.70,14.00,162,0.23,924,0.00,16.50,1.58,106,0.00,6.24,-8.42,3.61,1.22,0.00,2.75,38.47
18138,17.97,7.03,14.70,14.00,162,0.23,920,0.00,17.00,1.57,106,0.00,6.24,-8.42,3.56,1.22,0.00,2.75,38.58
18456,17.97,7.03,14.70,14.00,162,0.23,916,0.00,17.00,1.56,106,0.00,6.24,-8.42,3.61,1.22,0.00,2.75,37.25
18775,17.97,7.03,14.70,13.84,163,0.23,937,0.00,16.50,1.60,106,0.00,6.24,-8.42,3.51,1.24,0.00,2.75,38.48
19094,17.97,7.03,14.70,13.92,163,0.23,920,0.00,17.00,1.57,106,0.00,6.24,-8.42,3.65,1.24,0.00,2.75,38.30
19412,17.97,7.03,14.70,13.92,163,0.24,940,0.00,16.50,1.61,106,0.00,6.24,-8.42,3.57,1.24,0.00,2.75,39.96
19730,18.75,7.03,14.70,14.00,163,0.23,955,0.00,15.50,1.60,106,0.00,6.24,-8.42,3.63,1.24,0.00,2.75,38.21
20047,18.75,7.03,14.70,13.84,163,0.23,944,0.00,16.50,1.61,106,0.00,6.24,-8.42,3.59,1.24,0.00,2.75,39.32
20366,17.97,7.03,14.59,13.92,163,0.23,951,0.00,16.00,1.59,106,0.00,6.24,-8.42,3.65,1.24,0.00,2.75,38.21
20683,18.75,7.03,14.70,13.92,163,0.23,950,0.00,16.50,1.63,106,0.00,6.24,-8.42,3.56,1.24,0.00,2.75,39.02
21001,17.97,7.03,14.59,14.00,163,0.22,946,0.00,15.50,1.41,106,0.00,6.24,-8.42,3.65,1.24,0.00,2.75,40.06
21319,17.97,7.03,14.59,14.00,163,0.23,942,0.00,17.00,1.61,106,0.00,6.24,-8.56,3.57,1.24,0.00,2.75,38.60
25587,3.91,7.03,12.75,14.00,163,0.37,1224,0.00,28.00,2.09,106,0.00,9.72,-4.93,4.18,1.18,0.00,2.75,29.17
25905,-6.25,6.25,12.29,14.00,163,0.49,1398,0.00,28.00,2.98,106,0.00,9.00,-5.66,11.46,1.76,0.00,9.80,59.89
26224,-15.62,5.47,12.86,14.08,163,0.34,1438,0.00,27.50,2.45,106,0.00,7.11,-7.55,8.79,1.60,0.00,7.84,53.10
