Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Volumetric Efficiency 2.5L (Calculated) (%)
0,8.59,14.84,14.01,13.92,185,0.23,1002,0.00,19.50,1.71,113,0.00,5.80,-8.85,3.85,1.22,0.00,2.35,42.03
320,7.03,14.84,14.13,14.00,185,0.23,978,0.00,20.50,1.67,113,0.00,5.80,-8.85,3.63,1.20,0.00,2.35,39.54
639,6.25,14.84,14.24,13.92,185,0.22,998,0.00,17.50,1.49,113,0.00,5.80,-9.00,3.65,1.20,0.00,2.35,41.12
957,5.47,14.84,14.24,14.00,185,0.21,991,0.00,18.00,1.47,113,0.00,5.80,-9.00,3.41,1.18,0.00,1.96,38.99
1277,5.47,14.84,14.47,13.92,185,0.22,971,0.00,21.00,1.45,113,0.00,5.80,-9.00,3.63,1.20,0.00,5.49,46.31
1596,6.25,13.28,14.70,14.00,185,0.92,928,0.00,25.50,2.97,113,1.50,11.61,-3.19,12.96,1.80,0.00,11.37,69.29
1916,-10.94,10.94,12.40,13.92,185,0.55,1340,0.00,30.00,3.29,113,1.50,11.46,-3.19,12.44,1.80,0.00,12.16,50.69
2234,-9.38,9.38,14.13,13.92,185,0.57,2044,0.00,38.00,4.41,113,0.00,10.30,-4.50,19.79,2.08,0.00,14.90,60.22
2553,-2.34,8.59,15.16,13.84,185,0.67,1764,0.00,33.00,4.43,113,0.00,10.59,-4.21,19.87,2.08,0.00,14.90,68.59
2872,-3.91,7.03,14.59,13.84,185,0.79,1403,0.00,29.50,3.87,113,2.00,12.33,-2.32,18.06,2.02,0.00,15.69,63.94
3190,-10.94,6.25,13.78,13.84,185,0.72,1361,0.00,29.00,3.48,113,1.50,12.33,-2.32,16.45,1.96,0.00,14.90,60.22
3509,-10.16,5.47,14.59,13.92,185,0.72,1455,0.00,30.00,3.72,113,1.50,12.48,-2.18,17.29,1.98,0.00,15.69,60.70
3828,-7.03,4.69,14.93,13.92,185,0.68,1546,0.00,31.00,3.96,113,0.50,12.19,-2.61,18.24,2.02,0.00,15.29,61.55
4148,-5.47,3.91,14.93,13.84,185,0.68,1689,0.00,32.00,4.03,113,0.00,11.32,-3.34,19.49,2.06,0.00,15.29,65.48
4466,-1.56,3.91,15.04,13.84,185,0.69,1902,0.00,35.00,4.39,113,0.00,11.17,-3.63,21.72,2.12,0.00,15.29,64.94
4786,0.00,3.12,14.81,13.92,185,0.65,2009,0.00,36.50,4.76,113,0.00,10.88,-3.92,22.09,2.14,0.00,15.29,63.76
5104,1.56,3.12,14.81,13.84,185,0.65,2170,0.00,38.00,5.13,113,0.00,10.59,-4.21,23.89,2.18,0.00,16.08,66.99
5424,3.12,0.78,14.70,14.00,185,0.65,2281,0.00,38.50,5.42,113,0.00,10.45,-4.35,24.74,2.20,0.00,16.08,66.13
5742,5.47,0.78,14.81,13.84,185,0.65,2437,0.00,40.00,5.72,113,0.00,10.01,-4.79,26.58,2.26,0.00,16.47,68.78
6060,4.69,0.78,14.47,13.76,185,0.65,2636,0.00,41.00,6.14,113,0.00,9.43,-5.22,28.47,2.30,0.00,17.25,73.31
6379,5.47,0.78,14.47,13.84,185,0.64,2798,0.00,42.00,6.64,113,0.00,9.29,-5.51,29.75,2.32,0.00,17.65,72.84
6699,1.56,0.78,14.13,13.76,185,0.60,3022,0.00,44.00,7.02,113,0.00,8.85,-5.80,30.19,2.34,0.00,17.25,71.27
7017,0.00,0.78,13.78,13.84,185,0.22,3030,0.00,39.50,2.60,113,0.00,5.22,-9.58,10.89,1.72,0.00,8.24,45.31
7335,0.00,0.78,13.67,13.92,185,0.24,2870,0.00,26.50,2.45,113,0.00,4.64,-10.01,11.41,1.74,0.00,7.84,54.50
7654,0.00,0.78,16.77,13.92,185,0.25,2655,0.00,32.00,3.96,113,0.00,4.64,-10.16,11.22,1.74,0.00,8.24,58.96
7974,-2.34,0.78,14.13,14.00,185,0.67,2441,0.00,41.00,5.66,113,0.00,9.43,-5.37,27.06,2.28,0.00,16.86,74.99
8292,3.91,0.78,15.16,13.92,185,0.73,2040,0.00,35.50,5.22,113,0.50,11.03,-3.77,24.25,2.20,0.00,16.08,65.94
8611,6.25,0.78,14.70,14.00,185,0.75,2165,0.00,36.00,6.01,113,0.50,11.61,-3.19,26.40,2.26,0.00,18.04,66.80
8930,4.69,0.78,14.47,13.68,185,0.72,2273,0.00,37.00,5.82,113,0.50,11.32,-3.48,27.03,2.28,0.00,18.04,68.67
9248,3.91,0.78,14.59,13.84,185,0.73,2340,0.00,37.00,5.97,113,0.50,11.03,-3.63,28.70,2.30,0.00,18.04,69.83
9567,3.12,0.78,14.47,13.92,185,0.72,2483,0.00,38.00,6.29,113,0.50,10.74,-4.06,29.88,2.32,0.00,18.04,72.54
9887,1.56,0.78,14.47,13.84,185,0.74,2512,0.00,38.00,6.43,115,0.50,10.59,-4.06,31.12,2.34,0.00,18.43,72.24
10206,2.34,0.78,14.59,13.84,185,0.73,2677,0.00,38.50,6.80,115,0.50,10.59,-4.21,32.59,2.38,0.00,19.22,74.14
10525,2.34,0.78,14.47,13.84,187,0.76,2718,0.00,38.50,7.04,115,0.50,10.59,-4.21,34.33,2.42,0.00,19.61,76.18
10844,1.56,0.78,14.36,13.84,187,0.74,2815,0.00,39.00,7.21,115,0.50,10.45,-4.21,35.07,2.44,0.00,19.61,75.72
11161,-0.78,0.78,14.36,13.92,187,0.74,2933,0.00,39.50,7.58,115,0.50,10.59,-4.21,36.68,2.48,0.00,20.39,76.20
11481,-3.91,0.78,14.36,13.92,187,0.74,3031,0.00,40.00,7.85,115,0.50,10.59,-4.21,37.41,2.48,0.00,20.78,73.97
11799,-5.47,0.78,14.47,13.92,187,0.74,3159,0.00,41.00,8.01,115,0.50,10.59,-4.06,38.53,2.52,0.00,21.18,73.92
12118,0.00,0.78,14.13,14.00,187,0.29,3186,0.00,45.50,2.69,115,0.00,6.67,-8.13,13.12,1.88,0.00,8.24,39.64
12436,0.00,0.78,13.21,13.84,187,0.23,3082,0.00,29.50,2.66,115,0.00,4.79,-9.87,11.90,1.76,0.00,8.24,51.44
12756,0.00,0.78,14.24,13.76,187,0.24,2928,0.00,32.50,4.41,115,0.00,4.64,-9.87,14.38,1.78,0.00,13.73,80.75
13074,0.00,0.78,13.78,13.92,187,0.68,2538,0.00,41.00,6.50,115,0.00,9.14,-5.51,29.38,2.34,0.00,17.25,79.93
13394,0.00,0.78,14.59,13.92,187,0.74,2256,-4.00,34.50,5.85,115,-1.50,11.17,-3.63,28.21,2.30,0.00,19.22,72.15
13712,0.00,0.78,14.93,13.92,187,0.80,2297,-4.00,31.50,6.47,115,-3.00,11.90,-2.76,30.48,2.36,0.00,20.00,71.33
14030,1.56,0.78,14.81,13.76,187,0.81,2376,-4.00,31.50,6.59,115,-2.50,12.19,-2.61,31.63,2.38,0.00,20.39,70.24
14350,0.00,0.78,14.59,13.92,187,0.85,2356,-4.00,30.50,6.65,117,-2.50,12.33,-2.32,33.62,2.42,0.00,21.18,72.26
14668,-0.78,0.78,14.59,13.76,187,0.85,2416,-4.00,31.00,6.70,117,-2.50,12.19,-2.47,34.45,2.42,0.00,21.18,74.42
14987,-1.56,0.78,14.47,13.84,187,0.85,2495,-4.00,31.00,6.98,117,-2.50,12.19,-2.61,35.57,2.46,0.00,21.18,75.04
15307,-1.56,0.78,14.59,13.92,187,0.85,2554,-4.00,31.50,7.08,117,-2.50,12.04,-2.61,35.83,2.46,0.00,21.18,75.95
15626,-1.56,0.78,14.59,13.76,187,0.85,2573,-3.00,32.50,7.21,117,-1.50,11.90,-2.76,37.19,2.48,0.00,21.57,77.27
15946,-0.78,0.78,14.59,13.84,187,0.86,2620,-3.00,32.50,7.32,117,-1.50,11.90,-2.76,37.33,2.50,0.00,21.57,76.39
16264,-0.78,0.78,14.59,13.92,187,0.86,2683,-3.00,33.00,7.52,117,-1.50,11.75,-2.90,39.07,2.50,0.00,21.57,79.33
16583,0.00,0.78,14.59,13.84,187,0.87,2753,-3.00,33.00,8.16,117,-1.50,11.75,-3.05,38.83,2.52,0.00,21.57,77.57
16902,0.00,0.78,14.47,13.84,189,0.84,2815,-3.00,33.50,7.81,117,-1.50,11.61,-3.05,39.58,2.52,0.00,21.57,77.92
17221,-1.56,0.78,14.47,13.84,189,0.83,2856,-3.00,34.50,7.92,117,-1.50,11.61,-3.05,39.21,2.52,0.00,21.57,75.84
17539,-2.34,0.78,14.47,13.76,189,0.84,2916,-2.00,36.00,8.01,117,-0.50,11.61,-3.05,39.96,2.54,0.00,21.96,75.97
17859,-4.69,0.00,14.36,13.76,189,0.83,2934,-2.00,36.00,8.23,117,-0.50,11.61,-3.19,41.08,2.56,0.00,21.96,77.45
18177,-6.25,0.00,14.36,13.92,189,0.84,2985,-2.00,36.50,8.36,117,-0.50,11.61,-3.19,41.92,2.58,0.00,21.96,77.25
18495,-7.03,0.00,14.47,13.84,189,0.83,3052,-2.00,37.50,8.55,117,-0.50,11.61,-3.19,42.77,2.58,0.00,22.35,76.94
18815,0.00,0.78,13.32,13.84,189,0.22,3104,0.00,40.50,2.63,118,0.00,5.66,-9.14,10.76,1.72,0.00,8.24,42.08
19134,0.00,0.78,13.32,13.92,189,0.23,2994,0.00,26.00,2.56,118,0.00,4.79,-10.01,11.80,1.76,0.00,8.24,54.63
19453,0.00,0.78,14.36,13.92,189,0.55,2780,0.00,47.00,5.93,118,0.00,7.11,-7.40,26.85,2.26,0.00,16.86,86.73
19772,0.00,0.78,14.59,13.92,189,0.78,2293,0.00,36.50,5.87,118,0.50,10.88,-3.77,28.54,2.32,0.00,17.65,71.31
20091,0.00,0.78,14.93,13.84,189,0.79,2328,0.00,35.50,6.51,118,1.00,11.90,-2.76,31.18,2.36,0.00,20.00,71.67
