Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Feedback Knock Correction* (degrees),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V)
0,-4.69,0.00,14.47,13.92,135,997,0.00,14.50,1.91,97,0.00,5.22,-9.58,5.02,1.46,0.00,-1.08,0.00,0.54
241,-4.69,0.00,14.59,14.00,135,982,0.00,15.50,1.88,97,0.00,5.37,-9.43,4.93,1.44,0.00,-1.08,0.00,0.54
487,-5.47,0.00,14.24,14.00,135,990,0.00,14.00,1.90,97,0.00,5.37,-9.43,4.99,1.44,0.00,-1.08,0.00,0.54
729,-5.47,0.00,14.24,14.00,135,986,0.00,14.00,1.92,97,0.00,5.37,-9.43,4.96,1.46,0.00,-1.08,0.00,0.54
974,-5.47,0.00,14.47,13.92,135,978,0.00,14.50,1.88,97,0.00,5.37,-9.43,4.99,1.44,0.00,-1.08,0.00,0.54
1218,-5.47,0.00,14.47,13.92,135,979,0.00,14.00,1.88,97,0.00,5.37,-9.43,4.99,1.46,0.00,-1.08,0.00,0.54
1462,-5.47,0.00,14.36,13.92,135,986,0.00,13.00,1.89,97,0.00,5.37,-9.43,5.05,1.44,0.00,-1.08,0.00,0.54
1707,-5.47,0.00,14.59,13.92,135,993,0.00,14.00,1.91,97,0.00,5.37,-9.43,5.01,1.44,0.00,-1.08,0.00,0.54
1953,-5.47,0.00,14.59,14.00,135,989,0.00,12.00,2.11,97,0.00,5.51,-9.43,5.11,1.44,0.00,-1.08,0.00,0.54
2200,-5.47,0.00,14.47,13.92,135,982,0.00,13.00,2.09,97,0.00,5.51,-9.29,5.14,1.46,0.00,-1.08,0.00,0.54
2444,-5.47,0.00,14.59,14.00,135,992,0.00,12.00,2.12,97,0.00,5.51,-9.29,5.08,1.46,0.00,-1.08,0.00,0.54
2686,-6.25,0.00,14.47,13.92,135,986,0.00,13.00,2.09,97,0.00,5.37,-9.29,5.11,1.44,0.00,-1.08,0.00,0.54
2930,-5.47,0.00,14.59,14.00,135,990,0.00,11.00,1.90,97,0.00,5.51,-9.29,5.05,1.46,0.00,-1.08,0.00,0.54
3174,-5.47,0.00,14.59,14.00,135,983,0.00,13.50,1.89,97,0.00,5.37,-9.43,5.08,1.46,0.00,-1.08,0.00,0.54
3420,-5.47,0.00,14.70,13.92,135,992,0.00,12.50,2.11,97,0.00,5.51,-9.29,5.08,1.44,0.00,-1.08,0.00,0.54
3664,-5.47,0.00,14.59,14.00,135,981,0.00,13.00,1.88,97,0.00,5.37,-9.43,5.05,1.46,0.00,-1.08,0.00,0.54
3907,-5.47,0.00,14.70,13.84,135,989,0.00,12.50,2.11,97,0.00,5.51,-9.29,5.14,1.44,0.00,-1.08,0.00,0.54
4154,-5.47,0.00,14.59,13.92,135,987,0.00,13.00,2.11,97,0.00,5.51,-9.29,5.28,1.52,0.00,-1.08,0.00,0.54
4396,-6.25,0.00,14.59,13.92,135,1054,0.00,6.00,2.42,97,0.00,5.95,-8.85,6.38,1.54,0.00,-1.08,0.00,0.54
4641,-9.38,0.00,13.55,13.92,135,1009,0.00,13.00,2.37,97,0.00,6.09,-8.71,6.27,1.54,0.00,-1.08,0.00,0.54
4900,-7.03,0.00,14.47,13.92,135,981,0.00,14.00,2.30,97,0.00,6.38,-8.42,6.45,1.54,0.00,-1.08,0.00,0.54
5145,-6.25,0.00,14.70,13.92,135,990,0.00,13.50,2.32,97,0.00,6.38,-8.42,6.24,1.54,0.00,-1.08,0.00,0.54
5390,-6.25,0.00,15.04,13.92,135,992,0.00,13.00,2.31,97,0.00,6.53,-8.27,6.27,1.54,0.00,-1.08,0.00,0.54
5636,-6.25,0.00,14.93,13.92,135,994,0.00,13.00,2.33,97,0.00,6.53,-8.27,6.24,1.52,0.00,-1.08,0.00,0.54
5883,-5.47,0.00,14.93,14.00,135,984,0.00,15.50,2.31,97,0.00,6.38,-8.42,6.13,1.54,0.00,-1.08,0.00,0.54
6128,-4.69,0.00,15.27,13.68,135,979,0.00,13.50,2.51,97,0.00,6.53,-8.27,6.45,1.54,0.00,-1.08,0.00,0.54
6373,-5.47,0.00,15.16,13.92,136,964,0.00,14.50,2.45,97,0.00,6.67,-8.13,6.41,1.56,0.00,-1.08,0.00,0.54
6617,-5.47,0.00,14.59,13.92,136,962,0.00,14.00,2.46,97,0.00,6.67,-8.13,6.38,1.54,0.00,-1.08,0.00,0.54
6860,-5.47,0.00,14.70,13.76,136,963,0.00,16.50,2.46,97,0.00,6.82,-7.98,6.41,1.54,0.00,-1.08,0.00,0.54
7105,-4.69,0.00,14.81,13.84,136,957,0.00,14.00,2.65,97,0.00,6.96,-7.84,6.92,1.60,0.00,-1.08,0.00,0.54
7347,-5.47,0.00,14.70,13.84,136,1000,0.00,9.50,2.55,97,0.00,6.96,-7.84,6.60,1.54,0.00,-1.08,0.00,0.54
7594,-4.69,0.00,14.81,13.92,136,976,0.00,11.50,2.50,97,0.00,6.82,-7.84,6.71,1.58,0.00,-1.08,0.00,0.54
7839,-3.91,0.00,15.16,13.92,136,991,0.00,13.00,2.54,97,0.00,6.82,-7.98,6.71,1.56,0.00,-1.08,0.00,0.54
8084,-4.69,0.00,14.81,13.92,136,983,0.00,12.00,2.52,97,0.00,6.96,-7.84,6.77,1.58,0.00,-1.08,0.00,0.54
8328,-4.69,0.00,14.81,13.92,136,994,0.00,11.50,2.52,97,0.00,6.96,-7.84,6.73,1.58,0.00,-1.08,0.00,0.54
8572,-4.69,0.00,14.81,13.92,136,995,0.00,13.50,2.55,97,0.00,6.82,-7.98,6.52,1.56,0.00,-1.08,0.00,0.54
8817,-3.91,0.00,14.93,13.92,136,1020,0.00,9.00,2.61,97,0.00,6.82,-7.98,6.73,1.56,0.00,-1.08,0.00,0.54
9059,-4.69,0.00,14.59,13.92,136,999,0.00,11.50,2.56,97,0.00,6.67,-8.13,6.63,1.58,0.00,-1.08,0.00,0.54
9304,-4.69,0.00,14.47,13.92,136,1000,0.00,12.00,2.38,97,0.00,6.67,-8.27,6.41,1.54,0.00,-1.08,0.00,0.54
9549,-5.47,0.00,14.47,13.92,136,1003,0.00,13.00,2.35,97,0.00,6.53,-8.27,6.41,1.54,0.00,-1.08,0.00,0.54
9793,-4.69,0.00,14.70,13.92,136,1016,0.00,10.50,2.38,97,0.00,6.53,-8.27,6.49,1.56,0.00,-1.08,0.00,0.54
10037,-5.47,0.00,14.24,13.84,136,992,0.00,14.00,3.19,97,0.00,6.53,-7.98,8.01,1.68,0.00,-1.08,2.75,0.64
10292,-7.81,0.00,13.90,13.84,136,1169,0.00,25.50,3.99,97,0.00,7.98,-6.53,10.74,1.82,0.00,-1.08,4.71,0.70
10547,-3.91,0.00,14.81,13.92,136,1482,0.00,29.50,4.43,97,0.00,7.98,-6.96,11.82,1.86,0.00,-1.70,4.71,0.70
10800,-0.78,0.00,15.27,14.00,136,1621,0.00,28.50,4.15,97,0.00,6.53,-8.56,8.40,1.66,0.00,-2.01,0.00,0.54
11051,-8.59,0.00,12.98,13.92,136,1480,0.00,9.50,2.53,97,0.00,5.51,-9.29,7.10,1.60,0.00,-1.70,0.00,0.54
11296,-5.47,0.00,14.01,13.92,136,1296,0.00,21.00,2.49,97,0.00,5.37,-9.43,6.49,1.56,0.00,-1.39,0.00,0.54
11543,-4.69,0.00,14.81,13.92,136,1189,0.00,21.00,2.58,97,0.00,5.37,-9.29,6.56,1.56,0.00,-1.08,0.00,0.54
11789,-4.69,0.00,14.70,13.92,136,1150,0.00,21.00,2.45,97,0.00,5.66,-9.14,6.38,1.54,0.00,-1.08,0.00,0.54
12036,-6.25,0.00,14.47,13.92,136,1100,0.00,21.00,2.35,97,0.00,5.80,-9.00,6.27,1.54,0.00,-1.08,0.00,0.54
12282,-6.25,0.00,14.24,13.92,136,1059,0.00,21.00,2.26,97,0.00,5.95,-8.85,6.21,1.52,0.00,-1.08,0.00,0.54
