Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Knock Count (Combined) (Knock Events),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Volumetric Efficiency* (Load Multiplier)
0,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.54,0.0000
269,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.54,0.0000
538,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
805,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
1074,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
1341,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
1612,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
1882,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
2150,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
2420,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
2688,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
2956,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
3224,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
3493,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
3761,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
4030,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
4298,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.84,0.0000
4566,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,79.61,3.46,0.0000
4834,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,84.31,3.94,0.0000
5103,0.00,0.00,14.70,11.92,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,84.31,3.94,0.0000
5372,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,84.31,3.94,0.0000
5641,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,84.31,3.94,0.0000
5910,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,84.31,3.94,0.0000
6178,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,30.98,2.78,0.0000
6448,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.54,0.0000
6716,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
6985,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
7252,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
7521,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
7790,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,60.39,2.60,0.0000
8057,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,84.31,3.94,0.0000
8325,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,84.31,3.94,0.0000
8594,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,84.31,3.94,0.0000
8861,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,84.31,3.94,0.0000
9130,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.86,0.0000
9399,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
9666,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
9935,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
10202,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,2.35,0.88,0.0000
10470,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,84.31,3.72,0.0000
10739,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,84.31,3.94,0.0000
11008,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,84.31,3.94,0.0000
11274,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,84.31,3.94,0.0000
11543,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,25.88,2.62,0.0000
11811,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.54,0.0000
12080,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
12348,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
12616,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
12884,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,0.00,0.52,0.0000
13152,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,68.63,3.04,0.0000
13420,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,84.31,3.94,0.0000
13688,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,84.31,3.94,0.0000
13955,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,84.31,3.94,0.0000
14224,0.00,0.00,14.70,12.00,82,0.44,0,0.00,9.50,0.00,88,0.00,0,14.80,0.00,3.63,0.76,0.00,26.67,2.90,0.0000
